Date,Cloud Agent ID,Automation ID,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
2026-07-05T18:28:38.584Z,,,Included,auto,No,0,9341,134566,1916,145823,Included
2026-07-05T18:27:02.810Z,,,Included,auto,No,0,20861,101540,4844,127245,Included
2026-07-05T18:20:40.502Z,,,Included,auto,No,0,11602,466080,7696,485378,Included
2026-07-05T18:19:33.311Z,,,Included,auto,No,0,4427,155968,2194,162589,Included
2026-07-05T18:18:32.423Z,,,Included,auto,No,0,8620,260576,5233,274429,Included
2026-07-05T18:17:19.723Z,,,Included,auto,No,0,36478,76608,3924,117010,Included
2026-07-05T18:14:56.026Z,,,Included,auto,No,0,1009,310208,272,311489,Included
2026-07-05T18:12:35.760Z,,,Included,auto,No,0,516,307584,305,308405,Included
2026-07-05T18:12:18.618Z,,,Included,auto,No,0,493,203680,179,204352,Included
2026-07-05T18:11:40.975Z,,,Included,auto,No,0,2338,400672,1049,404059,Included
2026-07-05T18:10:39.379Z,,,Included,auto,No,0,6143,283712,582,290437,Included
2026-07-05T18:09:08.230Z,,,Included,auto,No,0,2486,450464,1890,454840,Included
2026-07-05T18:08:15.413Z,,,Included,auto,No,0,4641,426176,2777,433594,Included
2026-07-05T18:07:12.697Z,,,Included,auto,No,0,18896,456896,3706,479498,Included
2026-07-05T18:06:42.610Z,,,Included,auto,No,0,2193,70048,1437,73678,Included
2026-07-05T18:00:25.163Z,,,Included,auto,No,0,61321,135904,2818,200043,Included
2026-07-05T17:54:01.765Z,,,Included,auto,No,0,5563,256800,3494,265857,Included
2026-07-05T17:51:37.623Z,,,Included,auto,No,0,4950,285728,2250,292928,Included
2026-07-05T17:48:52.541Z,,,Included,auto,No,0,6711,299968,3346,310025,Included
2026-07-05T17:48:04.454Z,,,Included,auto,No,0,17871,359040,4096,381007,Included
2026-07-05T17:45:49.060Z,,,Included,auto,No,0,70367,488480,4005,562852,Included
2026-07-05T17:42:29.406Z,,,Included,auto,No,0,21701,84320,2220,108241,Included
2026-07-05T17:40:44.536Z,,,Included,auto,No,0,10478,1062816,1310,1074604,Included
2026-07-05T17:37:36.343Z,,,Included,auto,No,0,8043,702560,5352,715955,Included
2026-07-05T17:34:40.652Z,,,Included,auto,No,0,9213,643616,7748,660577,Included
2026-07-05T17:27:50.261Z,,,Included,auto,No,0,15428,1676768,14734,1706930,Included
2026-07-05T17:26:34.938Z,,,"Errored, No Charge",auto,No,,,,,,Free
2026-07-05T17:18:15.647Z,,,Included,auto,No,0,5751,732096,4113,741960,Included
2026-07-05T17:15:38.160Z,,,Included,auto,No,0,6803,411712,4777,423292,Included
2026-07-05T17:13:52.733Z,,,Included,auto,No,0,12674,289280,2670,304624,Included
2026-07-05T17:12:50.270Z,,,Included,auto,No,0,39615,27200,747,67562,Included
2026-07-05T17:10:21.110Z,,,Included,auto,No,0,3381,131904,2213,137498,Included
2026-07-05T17:03:47.583Z,,,Included,auto,No,0,13724,306880,1306,321910,Included
2026-07-05T17:01:53.169Z,,,Included,auto,No,0,12686,339328,4379,356393,Included
2026-07-05T16:58:08.249Z,,,Included,auto,No,0,69882,283040,2351,355273,Included
2026-07-05T16:56:15.341Z,,,Included,auto,No,0,7117,280640,4113,291870,Included
2026-07-05T16:52:04.744Z,,,Included,auto,No,0,4230,95904,1688,101822,Included
2026-07-05T16:49:19.151Z,,,Included,auto,No,0,39760,118528,6028,164316,Included
2026-07-05T16:39:00.259Z,,,Included,auto,No,0,28798,27040,535,56373,Included
2026-07-05T16:38:42.139Z,,,Included,auto,No,0,21811,26880,695,49386,Included
2026-07-05T16:38:16.712Z,,,Included,auto,No,0,5626,506112,1488,513226,Included
2026-07-05T16:34:03.341Z,,,Included,auto,No,0,16681,219520,1199,237400,Included
2026-07-05T16:27:35.095Z,,,Included,auto,No,0,64773,366336,8270,439379,Included
2026-07-05T16:24:24.583Z,,,Included,auto,No,0,7064,142208,4431,153703,Included
2026-07-05T16:22:18.131Z,,,Included,auto,No,0,14058,183008,2538,199604,Included
2026-07-05T16:22:08.035Z,,,"Errored, No Charge",auto,No,,,,,,Free
2026-07-05T16:15:27.365Z,,,Included,auto,No,0,54918,131200,1082,187200,Included
2026-07-05T16:12:25.625Z,,,Included,auto,No,0,43639,546144,13012,602795,Included
2026-07-05T16:09:39.302Z,,,Included,auto,No,0,35266,334528,4650,374444,Included
2026-07-05T11:57:39.802Z,,,Included,auto,No,0,6734,268064,562,275360,Included
2026-07-05T11:56:19.660Z,,,Included,auto,No,0,514,258880,623,260017,Included
2026-07-05T11:55:53.983Z,,,Included,auto,No,0,931,340032,815,341778,Included
2026-07-05T11:50:24.001Z,,,Included,auto,No,0,6812,1041792,4697,1053301,Included
2026-07-05T11:49:18.805Z,,,Included,auto,No,0,610,224256,470,225336,Included
2026-07-05T11:48:45.359Z,,,Included,auto,No,0,5553,214976,1226,221755,Included
